# source=PH
# page_name	cid	next_cid	ocr_txt	cmp_txt	next_ocr_txt	next_cmp_txt
PH_6_244	584	585	一	一	一	〔
PH_6_245	578	579	一	一	一	』
PH_6_247	452	453	一	一	一	』
PH_6_248	75	76	一	一	一	』
PH_6_248	96	97	一	一	一	』
PH_6_248	315	316	一	一	一	』
PH_6_249	342	343	一	一	一	』
PH_6_249	573	574	一	一	一	』
PH_6_250	69	70	一	一	一	』
PH_6_250	219	220	一	一	一	』
PH_6_250	330	331	一	一	一	』
PH_6_251	150	151	一	一	一	』
PH_6_252	277	278	一	一	一	』
PH_6_261	222	223	一	一	一	』
PH_6_261	532	533	一	一	一	』
PH_6_261	561	562	一	一	一	』
PH_6_265	428	429	一	一	一	〔
PH_6_266	529	530	一	一	一	〔
PH_7_308	177	179	一	一	一	■
PH_8_152	394	395	一	一	一	■
PH_9_215	197	198	一	一	一	■
PH_10_427	270	271	一	一	一	人
PH_11_355	473	474	一	一	一	切
PH_11_482	302	303	一	一	一	■
PH_12_354	675	676	一	一	一	■
PH_12_354	705	706	一	一	一	■
PH_12_379	339	340	一	一	一	■
PH_13_38	562	563	一	一	一	■
PH_13_38	646	647	一	一	一	■
PH_13_165	362	363	一	一	一	■
PH_13_200	333	334	一	一	一	■
PH_13_422	545	546	一	一	一	■
PH_15_425	44	45	一	一	一	■
PH_16_90	99	100	一	一	一	■
PH_16_91	327	328	一	一	一	■
PH_16_98	530	531	一	一	一	■
PH_16_142	538	539	一	一	一	■
PH_17_199	297	298	一	一	一	■
PH_18_390	594	595	一	一	一	■
PH_19_82	429	430	一	一	一	■
PH_19_329	266	267	一	一	一	■
PH_22_91	287	288	一	一	一	切
PH_22_101	449	450	一	一	一	■
PH_23_105	527	528	一	一	一	■
PH_23_229	549	550	一	一	一	■
PH_25_93	250	251	一	一	一	■
PH_25_163	511	512	一	一	一	■
PH_25_358	164	165	一	一	一	■
PH_25_372	100	101	一	一	一	■
PH_26_61	256	257	一	一	一	■
PH_31_430	426	427	一	一	一	此
PH_34_8	163	164	一	一	一	復
PH_43_5	493	494	一	一	一	）
PH_43_9	174	175	一	一	一	）
PH_43_13	491	492	一	一	一	）
